"","tsect_obs","veg_type","cover_pct","ht_avg_m"
"1","T01_initial_may","bare",2,0
"2","T01_initial_may","deadwood",3,NA
"3","T01_initial_may","forb",21.5,0.625
"4","T01_initial_may","grass",23,0.55
"5","T01_initial_may","nasturtium",50.5,0.85
"6","T01_pg01_june","bare",52.5,0
"7","T01_pg01_june","ivy",44,0.1
"8","T01_pg01_june","shrub",3.5,NA
"9","T01_pg02_july","bare",5.5,0
"10","T01_pg02_july","deadwood",2,0.25
"11","T01_pg02_july","forb",26,0.4625
"12","T01_pg02_july","ivy",37.5,0.165
"13","T01_pg02_july","litter",27.5,0
"14","T01_pg02_july","nasturtium",1.5,0.3
"15","T02_initial_may","bare",10.5,0
"16","T02_initial_may","deadwood",6.75,0
"17","T02_initial_may","grass",2,0.35
"18","T02_initial_may","ivy",65.75,0.20625
"19","T02_initial_may","nasturtium",15,0.8
"20","T02_pg01_june","bare",53.55,0
"21","T02_pg01_june","deadwood",10.01,0
"22","T02_pg01_june","ivy",36.43,0.175
"23","T02_pg02_july","bare",5.5,0
"24","T02_pg02_july","deadwood",6.5,0
"25","T02_pg02_july","forb",2.5,0.225
"26","T02_pg02_july","ivy",40.25,0.17
"27","T02_pg02_july","litter",43.5,0
"28","T02_pg02_july","nasturtium",1.75,0.35
"29","T03_initial_may","bare",7.69,0
"30","T03_initial_may","deadwood",5.64,0.7
"31","T03_initial_may","forb",13.84,0.5
"32","T03_initial_may","grass",51.53,0.81875
"33","T03_initial_may","shrub",21.28,1.25
"34","T03_pg01_june","bare",8.5,0
"35","T03_pg01_june","deadwood",4.5,1.5
"36","T03_pg01_june","grass",73,0.2
"37","T03_pg01_june","shrub",14,1.175
"38","T03_pg02_july","bare",6,0
"39","T03_pg02_july","deadwood",6.25,0.583333333333333
"40","T03_pg02_july","forb",2.5,0.25
"41","T03_pg02_july","grass",34.25,0.12
"42","T03_pg02_july","litter",34.25,0.0428571428571429
"43","T03_pg02_july","shrub",16.75,0.941666666666667
"44","T04_initial_may","bare",3.64,0
"45","T04_initial_may","deadwood",1.56,NA
"46","T04_initial_may","forb",6.77,2
"47","T04_initial_may","grass",46.35,0.72
"48","T04_initial_may","nasturtium",41.67,1.2
"49","T04_pg01_june","bare",22.5,0.15
"50","T04_pg01_june","deadwood",6.75,0
"51","T04_pg01_june","forb",4,0.5
"52","T04_pg01_june","grass",66.75,0.214285714285714
"53","T04_pg02_july","bare",11.61,0
"54","T04_pg02_july","deadwood",4.59,0.16
"55","T04_pg02_july","forb",11.08,0.143333333333333
"56","T04_pg02_july","grass",35.4,0.18125
"57","T04_pg02_july","litter",33.51,0
"58","T04_pg02_july","shrub",3.78,0.615
"59","T05_initial_may","deadwood",0.5,NA
"60","T05_initial_may","forb",2,1.35
"61","T05_initial_may","grass",44.5,0.875
"62","T05_initial_may","nasturtium",53,0.575
"63","T05_pg01_june","bare",52,0
"64","T05_pg01_june","deadwood",2,0
"65","T05_pg01_june","grass",46,0.15
"66","T05_pg02_july","bare",9.5,0
"67","T05_pg02_july","deadwood",2.75,0
"68","T05_pg02_july","forb",8.75,0.2
"69","T05_pg02_july","grass",37.75,0.228571428571429
"70","T05_pg02_july","litter",41.25,0
"71","T06_initial_may","deadwood",10,0.85
"72","T06_initial_may","forb",5,0.7
"73","T06_initial_may","grass",59,0.99
"74","T06_initial_may","grass_forb",20.5,0.9
"75","T06_initial_may","shrub",5.5,1.4
"76","T06_pg01_june","bare",29.5,0
"77","T06_pg01_june","deadwood",5.5,0
"78","T06_pg01_june","grass",63,0.43
"79","T06_pg01_june","shrub",2,0.25
"80","T06_pg02_july","bare",16.7,0
"81","T06_pg02_july","deadwod",0.5,0.2
"82","T06_pg02_july","deadwood",6.3,0.15
"83","T06_pg02_july","forb",17,0.464285714285714
"84","T06_pg02_july","grass",48.25,0.40625
"85","T06_pg02_july","litter",2.5,0
"86","T06_pg02_july","shrub",8.75,1.25
"87","T07_initial_may","grass",38.5,0.5
"88","T07_initial_may","ivy",59,0.5
"89","T07_initial_may","shrub",2.5,0.75
"90","T07_pg01_june","deadwood",0.5,0
"91","T07_pg01_june","grass",38.19,0.45
"92","T07_pg01_june","ivy",59.3,0.525
"93","T07_pg01_june","shrub",2.01,0.75
"94","T07_pg02_july","forb",20,0.2
"95","T07_pg02_july","ivy",60.5,0.29375
"96","T07_pg02_july","litter",19.5,0
"97","T08_initial_may","bare",4,NA
"98","T08_initial_may","deadwood",0.5,NA
"99","T08_initial_may","forb",9,0.6
"100","T08_initial_may","grass",82.5,0.883333333333333
"101","T08_initial_may","ivy",2,0.2
"102","T08_initial_may","shrub",2,0.25
"103","T08_pg01_june","bare",5.53,0
"104","T08_pg01_june","deadwood",0.5,0
"105","T08_pg01_june","forb",11.05,0.55
"106","T08_pg01_june","grass",79.39,0.833333333333333
"107","T08_pg01_june","ivy",2.51,0.2
"108","T08_pg01_june","shrub",1.01,0.2
