"","tsect_obs","obs_length_tot_m"
"1","T01_initial_may",20
"2","T01_pg01_june",20
"3","T01_pg02_july",20
"4","T02_initial_may",20
"5","T02_pg01_june",19.98
"6","T02_pg02_july",20
"7","T03_initial_may",19.5
"8","T03_pg01_june",20
"9","T03_pg02_july",20
"10","T04_initial_may",19.2
"11","T04_pg01_june",20
"12","T04_pg02_july",18.5
"13","T05_initial_may",20
"14","T05_pg01_june",20
"15","T05_pg02_july",20
"16","T06_initial_may",20
"17","T06_pg01_june",20
"18","T06_pg02_july",20
"19","T07_initial_may",20
"20","T07_pg01_june",19.9
"21","T07_pg02_july",20
"22","T08_initial_may",20
"23","T08_pg01_june",19.9
"24","T08_pg02_july",20
"25","T09_initial_may",20
"26","T09_pg01_june",19.9
"27","T09_pg02_july",20
